0,JONESBORO RD SE/WHATLEY ST SE,33.706679,-84.379645,0,1,1.23,10,30,60,1,3,3.5
1,MITCHELL ST SW/PRYOR ST SW,33.750292,-84.391905,1,2,1.23,10,30,60,3,5,3.5
2,CAPITOL SQ SW/CAPITOL PL SW,33.748217,-84.38812,2,0,3.98,10,36,60,5,1,7
3,HANK AARON DR/VANIRA AVE SE,33.72916,-84.38816,2,3,4.92,10,31,60,5,7,3.5
4,MCDONOUGH BLVD SE/MARCY ST SE,33.720237,-84.386424,3,0,2.98,15,40,60,7,1,10.5
5,JONESBORO RD SE/JORDAN ST SE,33.703851,-84.377644,3,1,3.38,5,37,60,7,3,7
6,BROWNS MILL RD SE/LAQUITA DR SE,33.70275,-84.376622,3,4,1.36,10,38,60,7,9,3.5
7,MITCHELL ST SW/CENTRAL AVE SW,33.74963,-84.390687,4,0,2.03,10,30,60,9,1,10.5
8,HANK AARON DR SW/LITTLE ST SE,33.733384,-84.388108,4,1,4.31,10,58,60,9,3,14
9,BROAD ST/ALABAMA ST (FIVE POINTS STATION),33.753138,-84.392179,4,2,4.92,10,40,60,9,5,17.5
10,HUTCHENS RD SE/DONNEBROOK LN SE,33.668487,-84.366782,4,5,1.56,10,38,60,9,11,21
11,JONESBORO RD SE/SPRINGSIDE DR SE,33.676739,-84.369991,5,0,2.56,15,30,60,11,1,3.5
12,JONESBORO RD SE/SPRINGSIDE DR,33.675201,-84.370819,5,1,2.46,15,58,60,11,3,7
13,JONESBORO RD SE/2961,33.673595,-84.371674,5,2,1.48,10,40,60,11,5,10.5
14,HANK AARON DR/RALPH D ABERNATHY BLVD,33.737136,-84.387883,5,3,2.67,10,38,60,11,7,14
15,WEYMAN AVE SW/RIDGE AVE SW,33.725032,-84.390764,5,6,1.23,10,46,60,11,13,17.5
16,JONESBORO RD SE/MOURY AVE SE,33.713283,-84.38267,6,0,2.34,10,45,60,13,1,3.5
17,JONESBORO RD SE/CLEVELAND AVE SE,33.680339,-84.367375,6,1,3.98,10,20,60,13,3,7
18,WEYMAN AVE/HANK AARON DR,33.72506,-84.388406,6,2,1.17,10,38,60,13,5,10.5
19,JONESBORO RD SE/LETHEA ST SE,33.709497,-84.381342,6,3,5.87,10,48,60,13,7,14
20,BROWNS MILL RD SE/2039,33.698606,-84.374588,6,4,3.28,15,30,60,13,9,3.5
21,HANK AARON DR/964,33.728348,-84.388199,6,7,1.92,15,20,60,13,15,7
22,HANK AARON DR/ORMOND ST SE,33.731434,-84.387987,7,0,10.83,15,43,60,15,1,10.5
23,HANK AARON DR SW/BILL LUCAS DR SW,33.734218,-84.387924,7,1,8.3,15,30,60,15,3,3.5
24,HANK AARON DR/ATLANTA AVE SE,33.730584,-84.387976,7,2,7.37,15,58,60,15,5,7
25,RIDGE AVE SW/PULLIAM ST,33.72641,-84.392156,7,3,5.99,10,40,60,15,7,3.5
26,CAPITOL AVE/FULTON ST,33.742014,-84.387822,7,4,3.95,5,38,60,15,9,3.5
27,MCDONOUGH BLVD SE/JONESBORO RD SE,33.719205,-84.385248,7,5,1.67,5,46,60,15,11,7
28,JONESBORO RD SE/GAMMON AVE SE,33.718608,-84.384869,7,8,2.06,10,45,60,15,17,10.5
29,JONESBORO RD SE/MARTIN AVE SE,33.71766,-84.384466,8,0,10.83,10,30,60,17,1,14
30,JONESBORO RD SE/THIRKIELD AVE SE,33.715118,-84.383367,8,1,8.3,10,20,60,17,3,17.5
31,JONESBORO RD SE/MIDWAY ST SE,33.689999,-84.364154,8,2,7.36,10,35,60,17,5,21
32,HUTCHENS RD SE/565,33.67015,-84.370389,8,3,4.92,10,36,60,17,7,24.5
33,HUTCHENS RD SE/KING SMITH RD SE,33.669489,-84.367749,8,4,1.92,10,31,60,17,9,3.5
34,HANK AARON DR SW/HAYGOOD AVE SW,33.726645,-84.388059,8,5,3.56,10,40,60,17,11,7
35,BROWNS MILL RD SE/ADELLE ST SE,33.700719,-84.375871,8,6,2.91,10,37,60,17,13,10.5
36,JONESBORO RD SE/BROWN AVE SE,33.714286,-84.383008,8,9,1.65,10,38,60,17,19,14
37,HUTCHENS RD SE/JONESBORO RD SE,33.671716,-84.371704,9,0,5.99,10,40,60,19,1,17.5
38,JONESBORO RD SE/MELDON AVE SE,33.711574,-84.38218,9,1,3.95,10,38,60,19,3,21
39,HUTCHENS RD/KATOMARICK DR,33.667995,-84.363991,9,2,1.67,10,46,60,19,5,3.5
40,JONESBORO RD/GRACE DR,33.625823,-84.355125,9,3,2.06,10,45,60,19,7,7
41,JONESBORO RD/FOREST AVE,33.623863,-84.35418,9,4,6.92,15,30,60,19,9,10.5
42,JONESBORO RD/MARIE ST,33.620829,-84.352496,9,5,1.57,15,20,60,19,11,14
43,HUTCHENS RD SE/860,33.666322,-84.361091,9,6,3.48,15,35,60,19,13,17.5
44,HUTCHENS RD/FORREST PARK RD,33.665885,-84.355488,9,7,4.85,15,58,60,19,15,3.5
45,FORREST PARK RD SE/PINE FOREST DR,33.658974,-84.355572,9,10,2.31,15,40,60,19,21,7
46,FORREST PARK RD SE/EISENHOWER RD SE,33.656408,-84.355742,10,0,8.39,10,46,60,21,1,10.5
47,FORREST PARK RD SE/HENDON RD,33.654653,-84.3563,10,1,8.48,5,45,60,21,3,14
48,FORREST PARK RD SE/FOREST VALLEY DR,33.651672,-84.357811,10,2,5.47,10,20,60,21,5,3.5
49,CONLEY RD SE/900,33.650192,-84.359505,10,3,6.38,10,38,60,21,7,7
50,FOREST PKY/ASH ST,33.618928,-84.361406,10,4,4.29,10,30,60,21,9,10.5
51,NORTHWEST DR NW/1375,33.792874,-84.481239,10,5,4.48,10,58,60,21,11,28
52,FOREST PKY/BARTLETT DR,33.6162,-84.352853,10,6,1.67,10,40,60,21,13,17.5
53,FOREST PKY/MAPLE DR,33.618204,-84.358551,10,7,2.06,10,38,60,21,15,21
54,CONLEY RD SE/JONESBORO RD SE,33.648649,-84.364231,10,8,1.17,10,46,60,21,17,24.5
55,FORREST PARK RD/CONLEY RD,33.650337,-84.358284,10,11,2.34,10,45,60,21,23,28
56,HUTCHENS RD/860,33.665768,-84.357496,11,0,20.56,10,38,60,23,1,31.5
57,MAIN ST/JONESBORO RD,33.618689,-84.352257,11,1,21.46,10,46,60,23,3,35
58,MAIN ST/PHILLIPS DR,33.619189,-84.355838,11,2,10.37,10,45,60,23,5,3.5
59,MAIN ST/COLLEGE ST,33.620038,-84.360657,11,3,13.58,10,20,60,23,7,7
60,JONESBORO RD SE/HARPER RD SE,33.696541,-84.369633,11,4,14.91,15,38,60,23,9,10.5
61,JONESBORO RD SE/CLAIRE DR SE,33.705077,-84.378688,11,5,10.37,15,48,60,23,11,14
62,BROWNS MILL RD/HARPER RD,33.696951,-84.37388,11,6,4.85,15,30,60,23,13,17.5
63,HANK AARON DR SE/BASS ST SE,33.735668,-84.387914,11,7,6.92,15,20,60,23,15,21
64,UNIVERSITY AVE SW/71,33.721049,-84.389837,11,8,8.39,10,43,60,23,17,24.5
65,JONESBORO RD SE/CONSTITUTION RD SE,33.693328,-84.366969,11,9,1.57,5,30,60,23,25,28
66,BROWNS MILL RD SE/GREENDALE DR SE,33.69968,-84.375218,11,12,2.68,10,58,60,25,1,31.5
67,HUTCHENS RD SE/916,33.666018,-84.359809,12,0,10.47,10,40,60,25,3,3.5
68,UNIVERSITY AVE SW/PRYOR RD SW,33.721495,-84.392543,12,1,14.03,10,38,60,25,5,7
69,HARPER RD SE/BURROUGHS AVE SE,33.69688,-84.371208,12,2,10.47,10,46,60,25,7,10.5
70,JONESBORO RD SE/MCWILLIAMS RD SE,33.688817,-84.364023,12,3,10.37,10,45,60,25,9,14
71,PEACHTREE ST/MARTIN L KING JR DR,33.7521,-84.392146,12,4,14.91,10,30,60,25,11,17.5
72,JONESBORO RD SE/2491,33.685335,-84.364793,12,5,4.85,10,20,60,25,13,21
73,JONESBORO RD/RUSKIN DR,33.646653,-84.36486,12,6,6.92,10,35,60,25,15,24.5
74,JONESBORO RD/SCOTT RD,33.643269,-84.363273,12,7,8.39,10,20,60,25,17,28
75,JONESBORO RD/CONLEY RD,33.638919,-84.360937,12,8,1.57,15,35,60,25,19,3.5
76,JONESBORO RD/COLLEGE ST,33.634515,-84.358602,12,9,3.48,15,36,60,25,21,3.5
77,JONESBORO RD/ERNEST DR,33.632564,-84.357559,12,10,4.85,15,31,60,,,
78,JONESBORO RD/OLD JONESBORO RD,33.628473,-84.355929,12,13,6.92,10,40,60,,,
79,JONESBORO RD SE/WHATLEY ST SE,33.706679,-84.379645,13,0,8.39,10,37,60,,,
80,MITCHELL ST SW/PRYOR ST SW,33.750292,-84.391905,13,1,14.91,10,38,60,,,
81,CAPITOL SQ SW/CAPITOL PL SW,33.748217,-84.38812,13,2,13.58,10,40,60,,,
82,MCDONOUGH BLVD SE/MARCY ST SE,33.720237,-84.386424,13,3,14.91,10,38,60,,,
83,JONESBORO RD SE/JORDAN ST SE,33.703851,-84.377644,13,4,16.08,10,46,60,,,
84,BROWNS MILL RD SE/LAQUITA DR SE,33.70275,-84.376622,13,5,2.31,5,45,60,,,
85,MITCHELL ST SW/CENTRAL AVE SW,33.74963,-84.390687,13,6,4.85,10,30,60,,,
86,HANK AARON DR/VANIRA AVE SE,33.72916,-84.38816,13,7,6.92,10,20,60,,,
87,BROAD ST/ALABAMA ST (FIVE POINTS STATION),33.753138,-84.392179,13,8,8.39,10,35,60,,,
88,JONESBORO RD SE/SPRINGSIDE DR SE,33.676739,-84.369991,13,9,4.89,10,58,60,,,
89,JONESBORO RD SE/SPRINGSIDE DR,33.675201,-84.370819,13,10,3.94,15,40,60,,,
90,WEYMAN AVE SW/RIDGE AVE SW,33.725032,-84.390764,13,11,3.67,15,46,60,,,
91,JONESBORO RD SE/MOURY AVE SE,33.713283,-84.38267,13,14,3.1,15,45,60,,,
92,WEYMAN AVE/HANK AARON DR,33.72506,-84.388406,14,0,10.27,15,20,60,,,
93,JONESBORO RD SE/LETHEA ST SE,33.709497,-84.381342,14,1,7.89,15,38,60,,,
94,BROWNS MILL RD SE/2039,33.698606,-84.374588,14,2,6.38,15,30,60,,,
95,JONESBORO RD SE/CLEVELAND AVE SE,33.680339,-84.367375,14,3,4.87,15,58,60,,,
96,HANK AARON DR SW/LITTLE ST SE,33.733384,-84.388108,14,4,4.82,15,40,60,,,
97,HANK AARON DR/964,33.728348,-84.388199,14,5,2.39,10,38,60,,,
98,HANK AARON DR/ORMOND ST SE,33.731434,-84.387987,14,6,3.94,15,46,60,,,
99,HANK AARON DR/RALPH D ABERNATHY BLVD,33.737136,-84.387883,14,7,3.67,15,45,60,,,
,,,,14,8,3.1,10,38,60,,,
,,,,14,9,2.89,10,46,60,,,
,,,,14,10,3,10,45,60,,,
,,,,14,11,2.87,15,20,60,,,
,,,,14,12,4.56,15,38,60,,,
,,,,14,15,1.23,15,48,60,,,
,,,,15,0,6.98,10,30,60,,,
,,,,15,1,8.38,10,20,60,,,
,,,,15,2,4.92,10,43,60,,,
,,,,15,3,6.98,10,30,60,,,
,,,,15,4,1.74,15,58,60,,,
,,,,15,5,2.99,10,40,60,,,
,,,,15,6,4.72,10,38,60,,,
,,,,15,7,5.86,10,46,60,,,
,,,,15,8,431,10,45,60,,,
,,,,15,9,3.1,10,30,60,,,
,,,,15,10,2.89,10,40,60,,,
,,,,15,11,3.01,10,38,60,,,
,,,,15,12,4.86,10,46,60,,,
,,,,15,13,5.91,10,45,60,,,
